ID,label
0,3
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,3
12,0
13,0
14,0
15,3
16,0
17,4
18,0
19,0
20,0
21,1
22,0
23,0
24,3
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,4
34,0
35,0
36,0
37,0
38,0
39,0
40,4
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,4
51,0
52,0
53,0
54,0
55,0
56,0
57,2
58,0
59,0
60,0
61,0
62,2
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,4
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,3
97,0
98,0
99,1
100,0
101,2
102,3
103,0
104,3
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,3
114,0
115,0
116,3
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,4
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,3
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,3
178,0
179,1
180,0
181,4
182,4
183,0
