ID,label
0,4.0
1,0.0
2,0.0
3,2.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.0
9,0.0
10,0.0
11,4.0
12,0.0
13,0.0
14,0.0
15,2.0
16,2.0
17,0.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,0.0
24,3.0
25,0.0
26,0.0
27,2.0
28,0.0
29,4.0
30,2.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,2.0
40,3.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,2.0
47,2.0
48,0.0
49,0.0
50,0.0
51,0.0
52,2.0
53,3.0
54,0.0
55,0.0
56,0.0
57,2.0
58,0.0
59,0.0
60,4.0
61,2.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,2.0
69,3.0
70,0.0
71,0.0
72,0.0
73,3.0
74,3.0
75,3.0
76,0.0
77,0.0
78,2.0
79,2.0
80,0.0
81,0.0
82,0.0
83,2.0
84,2.0
85,3.0
86,0.0
87,2.0
88,0.0
89,3.0
90,3.0
91,0.0
92,3.0
93,0.0
94,0.0
95,2.0
96,2.0
97,4.0
98,0.0
99,4.0
100,0.0
101,0.0
102,4.0
103,0.0
104,4.0
105,0.0
106,0.0
107,2.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,3.0
114,0.0
115,0.0
116,2.0
117,2.0
118,0.0
119,4.0
120,0.0
121,0.0
122,2.0
123,0.0
124,0.0
125,2.0
126,0.0
127,2.0
128,0.0
129,0.0
130,0.0
131,0.0
132,2.0
133,2.0
134,2.0
135,2.0
136,0.0
137,0.0
138,3.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,2.0
146,0.0
147,0.0
148,2.0
149,2.0
150,0.0
151,0.0
152,0.0
153,2.0
154,2.0
155,2.0
156,0.0
157,0.0
158,4.0
159,0.0
160,2.0
161,0.0
162,0.0
163,0.0
164,2.0
165,0.0
166,3.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,4.0
173,0.0
174,0.0
175,4.0
176,0.0
177,2.0
178,0.0
179,4.0
180,0.0
181,0.0
182,0.0
183,3.0
